"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Alex Bregman","Astros","152","664","557","161","35","3","35","108","100","92","85","7","2",".288",".394",".550",".944",".392","17678"
"Nolan Arenado","Rockies","157","683","605","182","37","3","43","103","123","66","100","3","1",".300",".368",".585",".953",".387","9777"
"Anthony Rendon","Angels","154","661","572","163","36","2","30","94","93","75","95","3","1",".286",".372",".517",".889",".369","12861"
"Kris Bryant","Cubs","151","659","562","153","32","3","31","95","93","78","148","5","2",".273",".374",".504",".878",".369","15429"
"Eugenio Suarez","Reds","151","654","569","151","25","2","41","97","106","71","168","3","1",".265",".353",".533",".886",".366","12552"
"Justin Turner","Dodgers","139","616","537","156","33","2","25","88","87","59","94","3","1",".290",".373",".497",".870",".366","5235"
"Josh Donaldson","Twins","147","637","535","139","29","2","31","96","88","91","140","4","1",".259",".371",".495",".866",".365","5038"
"Jose Ramirez","Indians","152","655","576","161","37","4","31","99","96","68","81","23","6",".279",".357",".522",".879",".363","13510"
"Rafael Devers","Red Sox","149","641","583","168","41","3","30","93","94","50","119","7","3",".288",".346",".519",".865",".357","17350"
"Vladimir Guerrero Jr.","Blue Jays","143","604","535","156","30","2","22","80","77","58","88","3","1",".292",".365",".481",".846",".355","19611"
"Manny Machado","Padres","157","680","606","166","30","2","36","89","106","64","112","8","2",".274",".344",".505",".849",".351","11493"
"Nicholas Castellanos","Reds","139","605","551","155","38","4","26","82","86","44","136","3","1",".281",".337",".503",".840",".349","11737"
"Matt Chapman","Athletics","156","661","580","143","33","4","34","91","89","69","158","2","1",".246",".332",".493",".825",".344","16505"
"Miguel Sano","Twins","138","595","515","121","25","1","35","86","93","71","210","1","0",".235",".331",".495",".826",".344","12164"
"Mike Moustakas","Reds","146","633","567","146","28","1","37","84","98","54","107","2","1",".258",".328",".505",".833",".344","4892"
"Yoan Moncada","White Sox","151","641","571","152","30","4","26","90","79","60","183","14","4",".266",".339",".472",".811",".340","17232"
"Matt Carpenter","Cardinals","123","532","447","105","25","2","21","66","68","75","131","3","1",".235",".349",".438",".788",".335","8090"
"Eduardo Escobar","Diamondbacks","152","658","598","160","35","6","28","85","94","49","122","4","1",".267",".324",".483",".807",".335","6153"
"Jung Ho Kang","","11","49","44","11","2","0","3","6","7","4","14","0","0",".243",".322",".469",".791",".332","17182"
"Miguel Andujar","Yankees","117","503","466","128","28","2","21","65","67","27","84","2","1",".275",".319",".476",".796",".331","15878"
"Asdrubal Cabrera","Nationals","87","302","271","70","15","1","11","37","42","26","60","1","0",".258",".326",".447",".773",".325","4962"
"Yandy Diaz","Rays","130","551","483","129","22","2","13","66","55","61","104","3","1",".268",".352",".402",".754",".325","16578"
"J.D. Davis","Mets","118","511","462","120","24","1","21","63","66","41","123","2","1",".259",".324",".448",".772",".325","16219"
"Jake Lamb","Diamondbacks","73","235","203","48","10","2","9","30","29","28","59","2","1",".236",".332",".430",".763",".323","13329"
"Hunter Dozier","Royals","147","620","558","139","33","4","23","75","78","54","165","4","1",".250",".318",".447",".765",".321","15117"
"Brian Anderson","Marlins","152","648","576","148","31","2","20","73","76","55","138","4","1",".257",".332",".421",".753",".321","18289"
"Nick Solak","Rangers","112","473","423","109","19","2","16","57","51","39","111","5","2",".258",".328",".422",".750",".320","19294"
"Wilmer Flores","Giants","105","350","322","88","17","1","11","38","45","21","41","1","0",".274",".323",".433",".756",".319","5827"
"Travis Shaw","Blue Jays","104","439","382","86","17","1","20","53","56","50","111","3","1",".226",".320",".435",".755",".318","11982"
"Renato Nunez","Orioles","144","600","543","131","26","1","29","72","77","44","151","2","0",".241",".306",".451",".757",".317","14503"
"Ty France","Padres","37","81","73","18","4","0","3","9","10","5","16","0","0",".253",".323",".417",".740",".315","17982"
"Todd Frazier","Rangers","122","514","453","105","20","1","22","61","61","49","111","5","2",".231",".315",".426",".741",".314","785"
"Tommy La Stella","Angels","99","424","382","100","18","1","13","49","49","34","55","0","0",".261",".325",".413",".738",".314","12371"
"Evan Longoria","Giants","128","545","496","125","25","2","19","61","70","39","112","3","1",".253",".311",".426",".737",".310","9368"
"Kyle Seager","Mariners","141","588","526","124","26","2","24","62","75","51","118","3","1",".237",".309",".428",".737",".310","9785"
"Michael Brosseau","Rays","21","90","81","20","5","0","3","10","10","6","20","1","0",".252",".314",".416",".730",".310","19683"
"Abraham Toro","Astros","13","56","51","12","3","0","2","7","7","5","12","0","0",".243",".317",".412",".728",".309","19844"
"Tommy Edman","Cardinals","117","484","443","117","24","5","10","59","48","31","86","13","3",".265",".317",".408",".724",".308","19470"
"Johan Camargo","Braves","100","398","363","93","19","1","12","46","48","28","77","1","0",".257",".313",".417",".730",".308","14950"
"Ryon Healy","Brewers","6","28","26","7","1","0","1","3","4","2","6","0","0",".249",".297",".437",".734",".308","15447"
"Jeimer Candelario","Tigers","104","436","384","89","21","2","13","49","47","43","105","2","1",".231",".315",".402",".718",".307","13621"
"Matt Duffy","Rangers","31","130","117","32","6","0","2","14","11","11","21","1","1",".270",".335",".365",".700",".305","13836"
"David Bote","Cubs","83","260","231","55","12","1","8","31","29","24","68","3","1",".237",".317",".396",".713",".304","14593"
"Colin Moran","Pirates","122","521","473","121","24","1","14","54","63","40","113","1","0",".256",".317",".401",".718",".304","16909"
"Daniel Robertson","Rays","47","200","174","42","8","1","4","22","18","20","47","2","1",".239",".331",".363",".694",".304","14145"
"Christian Arroyo","Indians","24","105","96","25","5","0","3","12","12","7","23","1","0",".256",".313",".402",".715",".304","16434"
"Greg Garcia","Padres","62","166","142","35","6","1","2","18","13","19","34","1","0",".246",".343",".342",".685",".303","10951"
"Pablo Sandoval","Giants","23","57","52","13","2","0","2","6","7","4","12","0","0",".244",".302",".415",".717",".302","5409"
"Jedd Gyorko","Brewers","76","272","242","55","10","0","10","30","34","25","63","1","0",".228",".305",".401",".706",".301","10816"
"Giovanny Urshela","Yankees","136","586","544","139","27","2","18","65","67","32","105","1","0",".255",".300",".408",".708",".299","10681"
"Maikel Franco","Royals","110","463","424","104","21","1","17","47","60","34","63","0","0",".247",".304",".419",".723",".299","12179"
"David Fletcher","Angels","128","550","503","136","27","2","6","63","50","37","59","7","2",".271",".323",".369",".692",".299","17992"
"Alex Blandino","Reds","5","21","18","4","1","0","0","2","2","2","6","0","0",".226",".321",".362",".683",".299","16271"
"Taylor Ward","Angels","3","14","12","3","1","0","0","2","1","1","4","0","0",".230",".313",".376",".689",".297","17548"
"Cheslor Cuthbert","","5","21","19","5","1","0","1","2","2","1","4","0","0",".242",".297",".393",".690",".293","10473"
"Yangervis Solarte","","3","14","13","3","1","0","0","2","2","1","2","0","0",".242",".300",".387",".687",".292","5352"
"Brandon Drury","Blue Jays","87","371","339","79","18","1","11","40","40","26","91","1","1",".232",".293",".388",".681",".290","11615"
"Kyle Farmer","Reds","21","67","62","15","3","0","2","7","7","4","16","1","0",".236",".288",".390",".679",".288","14813"
"Hanser Alberto","Orioles","138","574","541","145","24","2","10","58","55","19","61","4","2",".269",".298",".379",".677",".287","11902"
"Rio Ruiz","Orioles","94","391","353","81","17","1","10","40","38","34","90","1","0",".230",".299",".371",".670",".287","14103"
"Matt Thaiss","Angels","16","70","62","14","3","0","2","8","7","6","17","0","0",".223",".296",".370",".666",".286","19318"
"Matt Reynolds","Royals","16","68","61","14","3","0","1","7","6","6","17","1","0",".233",".305",".347",".652",".283","13788"
"Edwin Rios","Dodgers","16","31","28","6","1","0","1","3","4","2","11","0","0",".216",".278",".393",".671",".283","18316"
"Luis Guillorme","Mets","15","51","45","11","2","0","1","5","4","5","9","0","0",".244",".315",".324",".639",".281","16451"
"Dawel Lugo","Tigers","49","204","193","50","9","1","3","20","20","8","35","1","1",".258",".290",".372",".662",".281","14713"
"Kevin Kramer","Pirates","24","84","76","17","4","0","2","9","9","6","24","1","0",".226",".294",".358",".652",".281","17689"
"Yolmer Sanchez","Giants","28","117","106","26","5","1","1","12","9","8","24","2","1",".242",".303",".340",".643",".279","11602"
"Isiah Kiner-Falefa","Rangers","6","26","24","6","1","0","0","3","2","2","5","0","0",".243",".304",".335",".639",".278","16512"
"Yu-Cheng Chang","Indians","10","42","38","8","2","0","1","4","4","3","13","0","0",".215",".285",".360",".646",".277","14773"
"Kelvin Gutierrez","Royals","8","34","31","8","1","0","1","4","3","2","9","0","0",".239",".292",".348",".640",".276","17468"
"Andrew Velazquez","Orioles","11","49","45","10","2","0","1","6","5","3","14","1","0",".229",".280",".357",".637",".273","14196"
"Eduardo Nunez","","5","21","20","5","1","0","0","2","2","1","3","0","0",".248",".280",".356",".636",".271","6848"
"Adrian Sanchez","Nationals","3","14","13","3","1","0","0","1","1","1","3","0","0",".237",".279",".337",".616",".263","11338"
"Patrick Wisdom","Mariners","11","47","43","8","2","0","2","4","5","4","17","0","0",".191",".260",".355",".615",".262","13602"
